Species,Host,Count
Pseudomonas phage F_MX1987sp/MX560,Pseudomonas,4
Pseudomonas phage F_MX560sp/Pa1651,Pseudomonas,1
Pseudomonas phage F_TK1718sp/PAK,Pseudomonas,4
Pseudomonas phage F_TK1727sp/MX560,Pseudomonas,4
Pseudomonas phage F_TK1932sp/Pa1651,Pseudomonas,5
Pseudomonas phage F_TK432sp/Pa1651,Pseudomonas,1
Pseudomonas phage Fc02,Pseudomonas aeruginosa,1
Pseudomonas phage Fc22,Pseudomonas aeruginosa,1
Pseudomonas phage GP100,Pseudomonas protegens,1
Pseudomonas phage Guyu,Pseudomonas aeruginosa,1
Pseudomonas phage H70,Pseudomonas aeruginosa,2
Pseudomonas phage H71,Pseudomonas aeruginosa,1
Pseudomonas phage H72,Pseudomonas aeruginosa,1
Pseudomonas phage HC15b2,Pseudomonas,1
Pseudomonas phage HU1,Pseudomonas,3
Pseudomonas phage HU1,Pseudomonas lactis,2
Pseudomonas phage HX1,Pseudomonas aeruginosa,1
Pseudomonas phage Henu5,Pseudomonas aeruginosa,1
Pseudomonas phage IME180,Pseudomonas aeruginosa,1
Pseudomonas phage ITTPL,Pseudomonas aeruginosa,1
Pseudomonas phage Iggy,Pseudomonas aeruginosa,1
Pseudomonas phage Itty13,Pseudomonas aeruginosa,1
Pseudomonas phage JBD16C,Pseudomonas aeruginosa PA14,1
Pseudomonas phage JBD23,Pseudomonas,1
Pseudomonas phage JBD24,Pseudomonas,2
Pseudomonas phage JBD25,Pseudomonas,2
Pseudomonas phage JBD26,Pseudomonas,2
Pseudomonas phage JBD30,Pseudomonas,2
Pseudomonas phage JBD44,Pseudomonas aeruginosa PA14,2
Pseudomonas phage JBD5,Pseudomonas,2
Pseudomonas phage JBD58a,Pseudomonas,12
Pseudomonas phage JBD68,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage JBD69,Pseudomonas aeruginosa PA14,2
Pseudomonas phage JBD88a,Pseudomonas,2
Pseudomonas phage JBD88b,Pseudomonas,2
Pseudomonas phage JBD90,Pseudomonas,5
Pseudomonas phage JBD93,Pseudomonas aeruginosa PA14,2
Pseudomonas phage JBD94b,Pseudomonas,1
Pseudomonas phage JBDs5,Pseudomonas,1
Pseudomonas phage JD024,Pseudomonas aeruginosa,2
Pseudomonas phage JG012,Pseudomonas aeruginosa,1
Pseudomonas phage JG054,Pseudomonas aeruginosa,1
Pseudomonas phage JHP,Pseudomonas aeruginosa,1
Pseudomonas phage JJ01,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage JOR,Pseudomonas syringae,1
Pseudomonas phage K4,Pseudomonas aeruginosa,1
Pseudomonas phage K5,Pseudomonas aeruginosa PAK,2
Pseudomonas phage K8,Pseudomonas aeruginosa PAK,2
Pseudomonas phage KP1,Pseudomonas sp.,1
Pseudomonas phage KPP22,Pseudomonas aeruginosa,1
Pseudomonas phage KPP22M1,Pseudomonas aeruginosa,1
Pseudomonas phage KPP22M2,Pseudomonas aeruginosa,1
Pseudomonas phage KPP22M3,Pseudomonas aeruginosa,1
Pseudomonas phage KPP23,Pseudomonas aeruginosa,1
Pseudomonas phage Kaya,Pseudomonas aeruginosa,1
Pseudomonas phage Kopi,Pseudomonas aeruginosa,1
Pseudomonas phage Kremar,Pseudomonas syringae,1
Pseudomonas phage L5,Pseudomonas aeruginosa,1
Pseudomonas phage LAS-2018a,Pseudomonas aeruginosa,4
Pseudomonas phage LKA5,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage LP14,Pseudomonas aeruginosa,1
Pseudomonas phage LY218,Pseudomonas aeruginosa,1
Pseudomonas phage Lu11,Pseudomonas,2
Pseudomonas phage Lu11,Pseudomonas putida,2
Pseudomonas phage M1.1,Pseudomonas syringae,1
Pseudomonas phage M1.2,Pseudomonas syringae,1
Pseudomonas phage M3.1,Pseudomonas syringae,1
Pseudomonas phage M5.1,Pseudomonas syringae,1
Pseudomonas phage MBL,Pseudomonas aeruginosa,1
Pseudomonas phage MD8,Pseudomonas aeruginosa,2
Pseudomonas phage MMS06,Pseudomonas aeruginosa,1
Pseudomonas phage MP42,Pseudomonas aeruginosa PA14,2
Pseudomonas phage MP48,Pseudomonas aeruginosa PA14,2
Pseudomonas phage MR1,Pseudomonas,1
Pseudomonas phage MR12,Pseudomonas,1
Pseudomonas phage MR13,Pseudomonas,1
Pseudomonas phage MR14,Pseudomonas,1
Pseudomonas phage MR15,Pseudomonas,1
Pseudomonas phage MR16,Pseudomonas,1
Pseudomonas phage MR18,Pseudomonas,1
Pseudomonas phage MR2,Pseudomonas,1
Pseudomonas phage MR299-2,Pseudomonas aeruginosa,1
Pseudomonas phage MR4,Pseudomonas,1
Pseudomonas phage MR5,Pseudomonas,1
Pseudomonas phage MR6,Pseudomonas,1
Pseudomonas phage MR7,Pseudomonas,1
Pseudomonas phage MR8,Pseudomonas,1
Pseudomonas phage MYY9,Pseudomonas aeruginosa,1
Pseudomonas phage Medea1,Pseudomonas syringae,1
Pseudomonas phage Misse,Pseudomonas syringae,1
Pseudomonas phage NOI,Pseudomonas syringae,1
Pseudomonas phage O4,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage OBP,Pseudomonas fluorescens,2
Pseudomonas phage P134,Pseudomonas,2
Pseudomonas phage P413,Pseudomonas savastanoi,1
Pseudomonas phage P421,Pseudomonas savastanoi pv. glycinea,1
Pseudomonas phage PA02,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PA02_HSun-2022,Pseudomonas aeruginosa,1
Pseudomonas phage PA15,Pseudomonas aeruginosa,1
Pseudomonas phage PA1C,Pseudomonas aeruginosa,1
Pseudomonas phage PA28,Pseudomonas aeruginosa,1
Pseudomonas phage PA4,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PA8,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PA90,Pseudomonas aeruginosa,1
Pseudomonas phage PAE2,Pseudomonas aeruginosa,1
Pseudomonas phage PAJU2,Pseudomonas,3
Pseudomonas phage PAJU2,Pseudomonas aeruginosa,2
Pseudomonas phage PAN70,Pseudomonas aeruginosa,1
Pseudomonas phage PAP-JP,Pseudomonas aeruginosa,1
Pseudomonas phage PAP02,Pseudomonas aeruginosa,1
Pseudomonas phage PAP8,Pseudomonas aeruginosa,1
Pseudomonas phage PARCL1pr,Pseudomonas,1
Pseudomonas phage PASA16,Pseudomonas aeruginosa,1
Pseudomonas phage PA_LZ01,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PBSPCA1,Pseudomonas cannabina pv. alisalensis,1
Pseudomonas phage PCS4,Pseudomonas fluorescens,1
Pseudomonas phage PCS5,Pseudomonas putida NBRC 14164,1
Pseudomonas phage PE09,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage PEV31,Pseudomonas,13
Pseudomonas phage PEV32,Pseudomonas,3
Pseudomonas phage PHB09,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage PHW2,Pseudomonas aeruginosa,1
Pseudomonas phage PN05,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage PN09,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage POR1,Pseudomonas oryzihabitans,1
Pseudomonas phage PP9W,Pseudomonas aeruginosa,1
Pseudomonas phage PP9W2,Pseudomonas aeruginosa,1
Pseudomonas phage PPA5,Pseudomonas aeruginosa,1
Pseudomonas phage PPAT,Pseudomonas aeruginosa,205
Pseudomonas phage PPAY,Pseudomonas aeruginosa,129
Pseudomonas phage PPSC2,Pseudomonas fluorescens,1
Pseudomonas phage PPpW-3,Pseudomonas,2
Pseudomonas phage PS-1,Pseudomonas sp. 1-1-1b,2
Pseudomonas phage PS5,Pseudomonas aeruginosa,1
Pseudomonas phage PSA04,Pseudomonas,1
Pseudomonas phage PSA07_PB1,Pseudomonas,1
Pseudomonas phage PSA09,Pseudomonas,1
Pseudomonas phage PSA11,Pseudomonas,1
Pseudomonas phage PSA13,Pseudomonas,1
Pseudomonas phage PSA16,Pseudomonas,1
Pseudomonas phage PSA20,Pseudomonas,1
Pseudomonas phage PSA25,Pseudomonas,1
Pseudomonas phage PSA28,Pseudomonas,1
Pseudomonas phage PSA31,Pseudomonas,1
Pseudomonas phage PSA34,Pseudomonas,1
Pseudomonas phage PSA37,Pseudomonas,1
Pseudomonas phage PSA39,Pseudomonas,1
Pseudomonas phage PSA40,Pseudomonas,1
Pseudomonas phage Pa BHU-15,Pseudomonas aeruginosa,1
Pseudomonas phage Pa BHU-17,Pseudomonas aeruginosa,1
Pseudomonas phage Pa-A,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-B,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-C,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-F,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-G,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-H,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-I,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-J,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-L,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-M,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-O,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-Q,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-S,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa-U,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Pa2,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage PaGU11,Pseudomonas aeruginosa,2
Pseudomonas phage PaGz-1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaLz-1-45,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaMx31,Pseudomonas aeruginosa,1
Pseudomonas phage PaMx33,Pseudomonas aeruginosa,1
Pseudomonas phage PaMx35,Pseudomonas aeruginosa,1
Pseudomonas phage PaMx41,Pseudomonas aeruginosa,2
Pseudomonas phage PaMx42,Pseudomonas aeruginosa,2
Pseudomonas phage PaMx43,Pseudomonas aeruginosa,1
Pseudomonas phage PaMx46,Pseudomonas aeruginosa,1
Pseudomonas phage PaP2,Pseudomonas,4
Pseudomonas phage PaP2,Pseudomonas aeruginosa,1
Pseudomonas phage PaP_Se,Pseudomonas aeruginosa,1
Pseudomonas phage PaSt-2_45_61k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSt-2_45_65k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-1_45_270k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-1_45_92k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-4,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-8_45_42k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-8_45_45k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-8_45_66k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-9_45_61k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSz-9_45_65k,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaSzW-1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaTs-2,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaYy-2,Pseudomonas aeruginosa,1
Pseudomonas phage PaYy-2,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaZh_1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage PaZq-1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage Paer4,Pseudomonas aeruginosa,1
Pseudomonas phage PaoP5,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage Persinger,Pseudomonas aeruginosa,2
Pseudomonas phage Pf17397_F_PD1,Pseudomonas sp.,1
Pseudomonas phage PfLES,Pseudomonas aeruginosa LESB58,1
Pseudomonas phage PhL_UNISO_PA-DSM_ph0031,Pseudomonas aeruginosa,1
Pseudomonas phage PhL_UNISO_PA-DSM_ph0034,Pseudomonas aeruginosa,1
Pseudomonas phage PhL_UNISO_PA-DSM_ph0041x,Pseudomonas aeruginosa,1
Pseudomonas phage Phabio,Pseudomonas fluorescens SBW25,2
Pseudomonas phage Phi05_1400 B,Pseudomonas,7
Pseudomonas phage PhiPA3,Pseudomonas,3
Pseudomonas phage PhiPA3,Pseudomonas aeruginosa,2
Pseudomonas phage PlaquesPlease,Pseudomonas putida,1
Pseudomonas phage Ps56,Pseudomonas aeruginosa,1
Pseudomonas phage Ps59,Pseudomonas aeruginosa,1
Pseudomonas phage Ps60,Pseudomonas aeruginosa,1
Pseudomonas phage Psa21,Pseudomonas syringae,2
Pseudomonas phage Psa21-HRN,Pseudomonas,1
Pseudomonas phage Psp6,Pseudomonas putida,1
Pseudomonas phage PspYZU01,Pseudomonas sp.,2
Pseudomonas phage PspYZU05,Pseudomonas sp.,2
Pseudomonas phage Pst_GIL1,Pseudomonas syringae,1
Pseudomonas phage Pst_GM1,Pseudomonas syringae,1
Pseudomonas phage QAC,Pseudomonas syringae,1
Pseudomonas phage Qaehs,Pseudomonas aeruginosa,1
Pseudomonas phage Quinobequin-P09,Pseudomonas aeruginosa UCBPP-PA14,1
Pseudomonas phage REC,Pseudomonas syringae,1
Pseudomonas phage REC1,Pseudomonas sp.,1
Pseudomonas phage RSP,Pseudomonas aeruginosa,2
Pseudomonas phage S12-1,Pseudomonas,1
Pseudomonas phage S12-3,Pseudomonas,1
Pseudomonas phage S50,Pseudomonas,1
Pseudomonas phage SCYZ1,Pseudomonas fluorescens,1
Pseudomonas phage SC_10_H1H2H8_2017,Pseudomonas sp.,1
Pseudomonas phage SC_8_H2H8_2017,Pseudomonas sp.,1
Pseudomonas phage SC_9_H1H8_2017,Pseudomonas sp.,1
Pseudomonas phage SL4,Pseudomonas aeruginosa,1
Pseudomonas phage SNK,Pseudomonas syringae,1
Pseudomonas phage SRT6,Pseudomonas aeruginosa,1
Pseudomonas phage SaPL,Pseudomonas aeruginosa,1
Pseudomonas phage Skulduggery,Pseudomonas fluorescens SBW25,1
Pseudomonas phage SoKa,Pseudomonas syringae pv. syringae,1
Pseudomonas phage Spike,Pseudomonas aeruginosa,2
Pseudomonas phage Stalingrad,Pseudomonas putida,1
Pseudomonas phage Strit,Pseudomonas syringae,1
Pseudomonas phage T2P,Pseudomonas,1
Pseudomonas phage TC6,Pseudomonas aeruginosa PA1,1
Pseudomonas phage TC7,Pseudomonas aeruginosa PA1,1
Pseudomonas phage TH15,Pseudomonas aeruginosa,1
Pseudomonas phage TehO,Pseudomonas aeruginosa,1
Pseudomonas phage U1B,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage U47,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage U5,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage UFJF_PfDIW6,Pseudomonas fluorescens,1
Pseudomonas phage UMP151,Pseudomonas aeruginosa,1
Pseudomonas phage UNO-SLW2,Pseudomonas sp.,1
Pseudomonas phage UNO-SLW3,Pseudomonas sp.,1
Pseudomonas phage UNO-SLW4,Pseudomonas sp.,1
Pseudomonas phage VB_PaeS_VL1,Pseudomonas aeruginosa,1
Pseudomonas phage VW-6B,Pseudomonas fluorescens,1
Pseudomonas phage VW-6S,Pseudomonas fluorescens,1
Pseudomonas phage WX_01,Pseudomonas aeruginosa,1
Pseudomonas phage Waldo5,Pseudomonas putida,1
Pseudomonas phage YH30,Pseudomonas aeruginosa,2
Pseudomonas phage YH6,Pseudomonas aeruginosa,2
Pseudomonas phage YMC/01/01/P52_PAE_BP,Pseudomonas aeruginosa,1
Pseudomonas phage YMC11/02/R656,Pseudomonas aeruginosa,2
Pseudomonas phage YMC11/07/P54_PAE_BP,Pseudomonas,2
Pseudomonas phage YMC12/01/R24,Pseudomonas aeruginosa,2
Pseudomonas phage YMC12/01/R960,Pseudomonas aeruginosa,2
Pseudomonas phage YS35,Pseudomonas,1
Pseudomonas phage ZC01,Pseudomonas aeruginosa,2
Pseudomonas phage ZCPS1,Pseudomonas,1
Pseudomonas phage ZY21,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage antinowhere,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage billy,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage chumba,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage chunk,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage clash,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage cory,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage crassa,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage datas,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage debbie,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage elmo,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage fnug,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage goodold,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage goonie,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage hairong,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage jett,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage misfit,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage oldone,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage otherone,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage pPa_SNUABM_DT01,Pseudomonas aeruginosa,1
Pseudomonas phage pasz2,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage pasz5,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage pf8_ST274-AUS411,Pseudomonas aeruginosa,1
Pseudomonas phage phi1,Pseudomonas aeruginosa,1
Pseudomonas phage phi10,Pseudomonas,3
Pseudomonas phage phi2,Pseudomonas aeruginosa,2
Pseudomonas phage phi297,Pseudomonas aeruginosa,2
Pseudomonas phage phi7,Pseudomonas,3
Pseudomonas phage phi9,Pseudomonas,3
Pseudomonas phage phiAH14a,Pseudomonas sp. ANT_H14,1
Pseudomonas phage phiAH14b,Pseudomonas sp. ANT_H14,1
Pseudomonas phage phiB1_1,Pseudomonas savastanoi pv. phaseolicola,1
Pseudomonas phage phiC725A,Pseudomonas,1
Pseudomonas phage phiGM22-3,Pseudomonas fluorescens,1
Pseudomonas phage phiK7A1,Pseudomonas syringae,1
Pseudomonas phage phiK7B1,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiKMVC5-12,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage phiKMVC5-121,Pseudomonas aeruginosa PAO1,2
Pseudomonas phage phiKMVC5-4,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage phiKT28,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage phiPA01_302,Pseudomonas aeruginosa,1
Pseudomonas phage phiPA01_EW,Pseudomonas aeruginosa,1
Pseudomonas phage phiPLS27,Pseudomonas,1
Pseudomonas phage phiPSA1,Pseudomonas syringae,2
Pseudomonas phage phiPsa267,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiPsa300,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiPsa315,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiPsa347,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiPsa381,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phiPsa397,Pseudomonas syringae pv. actinidiae,1
Pseudomonas phage phipa10,Pseudomonas aeruginosa,1
Pseudomonas phage phipa2,Pseudomonas aeruginosa,1
Pseudomonas phage phipa4,Pseudomonas aeruginosa,1
Pseudomonas phage pphageB21,Pseudomonas syringae,1
Pseudomonas phage pphageBV72,Pseudomonas syringae,1
Pseudomonas phage pphageT12,Pseudomonas syringae,1
Pseudomonas phage pphageT21,Pseudomonas syringae,1
Pseudomonas phage psageB2,Pseudomonas,1
Pseudomonas phage psageK4,Pseudomonas,1
Pseudomonas phage psageK4e,Pseudomonas syringae,1
Pseudomonas phage psageK9,Pseudomonas syringae,1
Pseudomonas phage shane,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage sortsol,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage sp.,Bacteria,11
Pseudomonas phage steven,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PA14,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PA15,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PA32_GUMS,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PA45_GUMS,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PA6_GUMS,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaM_EPA1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaS-HSN4,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaS_IME307,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae-SS2019XI,Pseudomonas aeruginosa,2
Pseudomonas phage vB_Pae-SS2019XII,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae-TbilisiM32,Pseudomonas aeruginosa,3
Pseudomonas phage vB_Pae1396P-5,Pseudomonas sp.,1
Pseudomonas phage vB_Pae436M-8,Pseudomonas sp.,1
Pseudomonas phage vB_Pae575P-3,Pseudomonas sp.,1
Pseudomonas phage vB_PaeA_55_1W,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_198,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_LCK69,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_MIJ3,Pseudomonas,1
Pseudomonas phage vB_PaeM_PA5oct,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_PAO1_Ab27,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeM_PAO1_Ab29,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_PS119XW,Pseudomonas,1
Pseudomonas phage vB_PaeM_SCUT-S2,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeM_SMS12,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeM_SMS21,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeM_SMS29,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeM_USP_1,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeM_USP_18,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_USP_2,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_USP_25,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_USP_3,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_V523,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_V524,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_fHoPae01,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_kmuB,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_phiLBG22,Pseudomonas,1
Pseudomonas phage vB_PaeM_phiRU,Pseudomonas,1
Pseudomonas phage vB_PaeP_ASP23,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_C1-14_Or,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_DEV,Pseudomonas,1
Pseudomonas phage vB_PaeP_E220,Pseudomonas,1
Pseudomonas phage vB_PaeP_Lx18,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_MAG4,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeP_PE3,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_PYO2,Pseudomonas,1
Pseudomonas phage vB_PaeP_SPCB,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeP_SPCG,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeP_TF17,Pseudomonas,1
Pseudomonas phage vB_PaeP_TUMS_P10,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_TUMS_P121,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_Tr60_Ab31,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeP_YA3,Pseudomonas aeruginosa UCBPP-PA14,1
Pseudomonas phage vB_PaeP_fHoPae04,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_p2-10_Or1,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeS-Yazdi-M,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_C1,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_PAJD-1,Pseudomonas aeruginosa PAO1,1
Pseudomonas phage vB_PaeS_PAO1_Ab30,Pseudomonas aeruginosa,2
Pseudomonas phage vB_PaeS_PAO1_HW12,Pseudomonas,1
Pseudomonas phage vB_PaeS_PcyII-40_PfII40a,Pseudomonas,2
Pseudomonas phage vB_PaeS_S218,Pseudomonas,1
Pseudomonas phage vB_PaeS_SCUT-S3,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_SCUT-S4,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_TUMS_P6,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_TUMS_P81,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_AM.P2,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR123a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR133a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR141a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR141b,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR141c,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR141d,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR143a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR144a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR150a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR153a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR161a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR161b,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR161c,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR178a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR181a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR197a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR200a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR201a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR204a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR205a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR208a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR213a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR228a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR233a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR243a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR243b,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR299a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR313a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR313b,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR313c,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR319a,Pseudomonas aeruginosa,2
Pseudomonas phage vB_Pae_BR319b,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR320a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR322a,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae_BR326a,Pseudomonas aeruginosa,1
